date,title,summary
2026-03-23,Iran War Live Updates: Iran Disputes Trump’s Assertion of ‘Very Strong Talks’,"President Trump said he was postponing strikes on Iran’s power plants until at least Friday to allow for negotiations, but Iran cast the claim as a ploy to soothe markets and to buy time for more military action."
2026-03-23,Canada’s Military Wants to Prove It Can Defend the High Arctic,Canadian soldiers transported M777 howitzers to the High Arctic to show their ability to fight in an increasingly contested part of the world. It did not go as planned.
2026-03-23,"Sidelined by War With Iran, Gaza Residents Remain in Limbo",The new war has led to panic buying and a surge in food prices for Gazans as they try to recover from Israel’s two-year offensive against Hamas.
2026-03-23,A Choice of Deadly Drones Is Only a Few Clicks Away for Ukrainian Troops,"Ukraine has created online marketplaces to let units select their own drones, a break from generations of standardized and centralized weapons procurement."
2026-03-23,"Caught Between Two Conflicts, Afghans Flee Iran","The war in Iran is choking off Afghanistan’s main economic lifeline and has forced at least 70,000 Afghan workers and students there back home to a nation embroiled in another conflict."
2026-03-23,Taiwan Debates Military Spending as Choices Over U.S. and China Loom,Tensions in the opposition Nationalist Party could surface this week as lawmakers argue over additional defense funding intended to counter Beijing’s growing might.
2026-03-23,Colombian Military Plane Crash Injures Dozens,"A military aircraft transporting 125 people was involved in an accident as it took off from southern Colombia, according to the authorities. The military was still investigating the cause."
2026-03-23,Canada May Need to Lean on the US as Military Threats in the Arctic Rise,"For the past seven decades, Canada has been the junior partner in a military agreement with the United States to protect the Canadian Arctic."
2026-03-22,"On Beirut’s Waterfront, Loss Meets Life, and Luxury, Amid War","Thousands displaced by Israeli strikes on Lebanon’s capital now shelter along the promenade hugging the Mediterranean Sea. They share it with joggers, cyclists and dog walkers, alongside dizzying displays of wealth."
2026-03-22,"Attack on a Sudan Hospital Kills Dozens, Head of W.H.O. Says","The group’s director general said 13 children were among those killed in the latest violence in the Darfur region, and he decried the targeting of health care facilities in the civil war."
2026-03-23,"Trump Delays Energy Strikes, but Iran’s Infrastructure Is Already Battered","U.S. and Israeli attacks on power plants and other civilian infrastructure risk escalating the conflict across the region, and angering Iranians who oppose the government."
2026-03-23,"Energy Crisis Will Not Be Resolved Quickly if War Ends, I.E.A. Chief Warns","Fatih Birol, the leader of the International Energy Agency, said the Iran war was a bigger crisis than the two oil shocks in the 1970s combined."
2026-03-23,Iran attempted to attack a far-off military base.,
2026-03-23,Energy Attacks in War on Iran Could Turn Economic Shock Into Long-Term Damage,A new phase targeting oil and gas infrastructure in the Persian Gulf threatens to hurt businesses and customers around the world for months or even years.
2026-03-23,"London Arson Attack on Jewish Ambulance Service Investigated as Hate Crime, Police Say",The city’s main police force said it was investigating fires that struck four ambulances as an antisemitic hate crime.
2026-03-23,Iranians Fear Trump’s Threat to Strike Power Plants,"With President Trump threatening to strike Iranian power plants, some war-weary civilians are panicking over a possible new debacle."
2026-03-23,Trump’s Ultimatum to Iran,"The president’s messages on the war have shifted, but the latest threat might be a sign that he’s moving to a harder stance."
2026-03-23,Israel’s Missile Defense Under Scrutiny After Iranian Attack,"Two missiles landed hours apart, wreaking havoc in two towns near a heavily guarded nuclear site in the Negev Desert."
2026-03-23,Here’s What Happened in the War in the Middle East on Sunday,"The Israeli military said its campaign against Hezbollah in Lebanon would intensify, while Iran threatened to attack civilian infrastructure if President Trump followed through with an ultimatum."
2026-03-23,Iran Responds to Trump’s Energy Threat With Defiance and Warnings of Its Own,"Tehran “will not hesitate in defending its people and its land,” a senior official said, after President Trump threatened to destroy Iranian power plants."
